timestamp,aqi,pm25,pm10,city,country
2020-01-01 00:00:00,165,82.9,140.7,Lahore,Pakistan
2020-01-01 01:00:00,199,147.7,215.4,Lahore,Pakistan
2020-01-01 02:00:00,190,130.9,183.7,Lahore,Pakistan
2020-01-01 03:00:00,196,143.4,230.4,Lahore,Pakistan
2020-01-01 04:00:00,198,146.0,198.7,Lahore,Pakistan
2020-01-01 05:00:00,280,230.3,360.9,Lahore,Pakistan
2020-01-01 06:00:00,252,201.6,286.5,Lahore,Pakistan
2020-01-01 07:00:00,234,184.3,293.6,Lahore,Pakistan
2020-01-01 08:00:00,178,108.0,176.4,Lahore,Pakistan
2020-01-01 09:00:00,238,188.3,306.0,Lahore,Pakistan
2020-01-01 10:00:00,230,180.2,265.8,Lahore,Pakistan
2020-01-01 11:00:00,242,192.2,290.2,Lahore,Pakistan
2020-01-01 12:00:00,180,111.7,155.8,Lahore,Pakistan
2020-01-01 13:00:00,193,136.7,194.5,Lahore,Pakistan
2020-01-01 14:00:00,187,125.5,173.2,Lahore,Pakistan
2020-01-01 15:00:00,176,103.9,172.8,Lahore,Pakistan
2020-01-01 16:00:00,195,141.6,195.3,Lahore,Pakistan
2020-01-01 17:00:00,179,110.3,179.6,Lahore,Pakistan
2020-01-01 18:00:00,195,141.6,201.4,Lahore,Pakistan
2020-01-01 19:00:00,178,107.9,160.0,Lahore,Pakistan
2020-01-01 20:00:00,166,84.5,117.3,Lahore,Pakistan
2020-01-01 21:00:00,189,129.0,200.5,Lahore,Pakistan
2020-01-01 22:00:00,179,109.7,181.3,Lahore,Pakistan
2020-01-01 23:00:00,123,44.3,69.9,Lahore,Pakistan
2020-01-02 00:00:00,160,72.3,119.6,Lahore,Pakistan
2020-01-02 01:00:00,162,77.5,104.6,Lahore,Pakistan
2020-01-02 02:00:00,172,96.5,161.1,Lahore,Pakistan
2020-01-02 03:00:00,188,127.2,193.1,Lahore,Pakistan
2020-01-02 04:00:00,186,123.1,199.1,Lahore,Pakistan
2020-01-02 05:00:00,225,175.0,260.6,Lahore,Pakistan
2020-01-02 06:00:00,184,119.1,182.5,Lahore,Pakistan
2020-01-02 07:00:00,176,104.5,149.2,Lahore,Pakistan
2020-01-02 08:00:00,168,88.9,138.3,Lahore,Pakistan
