timestamp,temperature,humidity,pressure,wind_speed
2020-01-01 00:00:00,2.1,100,1021.7,8.4
2020-01-01 01:00:00,2.0,100,1021.3,6.6
2020-01-01 02:00:00,2.4,100,1021.3,5.8
2020-01-01 03:00:00,2.5,100,1021.3,6.8
2020-01-01 04:00:00,2.4,100,1021.2,5.1
2020-01-01 05:00:00,3.2,97,1021.7,5.0
2020-01-01 06:00:00,3.2,98,1021.9,4.3
2020-01-01 07:00:00,3.2,99,1022.6,6.1
2020-01-01 08:00:00,3.6,98,1023.4,6.7
2020-01-01 09:00:00,4.3,98,1024.1,5.2
2020-01-01 10:00:00,5.6,97,1024.7,4.6
2020-01-01 11:00:00,7.5,91,1024.6,4.2
2020-01-01 12:00:00,9.7,81,1023.5,4.0
2020-01-01 13:00:00,11.6,71,1022.7,3.6
2020-01-01 14:00:00,12.9,65,1022.1,4.0
2020-01-01 15:00:00,13.4,61,1021.7,4.1
2020-01-01 16:00:00,13.1,65,1021.8,3.9
2020-01-01 17:00:00,8.9,85,1022.8,7.4
2020-01-01 18:00:00,7.9,88,1023.0,5.9
2020-01-01 19:00:00,6.5,92,1023.3,8.0
2020-01-01 20:00:00,6.1,94,1023.7,8.9
2020-01-01 21:00:00,7.1,93,1023.8,5.9
2020-01-01 22:00:00,6.2,95,1023.6,7.2
2020-01-01 23:00:00,4.3,98,1023.7,10.1
2020-01-02 00:00:00,3.9,98,1023.3,9.8
2020-01-02 01:00:00,4.1,97,1023.2,8.3
2020-01-02 02:00:00,4.7,97,1023.2,5.5
2020-01-02 03:00:00,4.5,99,1023.1,5.1
2020-01-02 04:00:00,4.7,100,1023.0,5.8
2020-01-02 05:00:00,5.2,99,1023.0,5.0
2020-01-02 06:00:00,5.7,100,1023.5,7.0
2020-01-02 07:00:00,5.9,100,1024.1,8.9
2020-01-02 08:00:00,6.6,99,1024.5,9.4
2020-01-02 09:00:00,8.7,92,1025.0,6.5
2020-01-02 10:00:00,11.7,82,1025.4,5.0
2020-01-02 11:00:00,14.0,74,1024.7,4.1
2020-01-02 12:00:00,15.9,65,1023.4,5.2
2020-01-02 13:00:00,17.4,55,1022.2,7.8
2020-01-02 14:00:00,18.0,50,1021.1,9.7
2020-01-02 15:00:00,17.8,51,1020.7,10.4
2020-01-02 16:00:00,16.7,60,1020.6,7.6
2020-01-02 17:00:00,12.3,78,1020.6,8.1
2020-01-02 18:00:00,10.2,87,1021.2,9.7
2020-01-02 19:00:00,8.9,90,1021.8,9.9
2020-01-02 20:00:00,8.6,90,1022.0,8.0
2020-01-02 21:00:00,8.2,91,1022.1,6.8
2020-01-02 22:00:00,7.9,92,1022.0,6.6
2020-01-02 23:00:00,6.5,95,1022.0,9.8
2020-01-03 00:00:00,7.1,94,1022.1,7.3
2020-01-03 01:00:00,7.6,92,1021.7,9.2
2020-01-03 02:00:00,7.5,92,1021.5,9.1
2020-01-03 03:00:00,6.6,92,1020.8,7.3
2020-01-03 04:00:00,6.1,93,1020.8,7.9
2020-01-03 05:00:00,5.3,95,1019.7,9.0
2020-01-03 06:00:00,5.5,96,1020.2,5.9
2020-01-03 07:00:00,4.2,97,1020.4,9.6
2020-01-03 08:00:00,6.6,93,1020.9,6.6
2020-01-03 09:00:00,9.5,86,1021.7,4.8
2020-01-03 10:00:00,12.5,78,1022.1,4.1
2020-01-03 11:00:00,15.0,68,1021.5,4.9
2020-01-03 12:00:00,16.7,59,1020.2,5.5
2020-01-03 13:00:00,17.6,53,1018.8,5.8
2020-01-03 14:00:00,18.0,50,1017.8,6.0
2020-01-03 15:00:00,18.0,50,1017.5,5.4
2020-01-03 16:00:00,17.0,64,1017.3,3.1
2020-01-03 17:00:00,16.7,57,1016.8,3.6
2020-01-03 18:00:00,15.7,60,1017.2,1.5
2020-01-03 19:00:00,14.6,65,1017.6,1.1
2020-01-03 20:00:00,13.4,71,1017.9,2.3
2020-01-03 21:00:00,12.4,76,1018.2,3.1
2020-01-03 22:00:00,10.0,85,1018.4,5.2
2020-01-03 23:00:00,8.4,92,1018.4,7.2
2020-01-04 00:00:00,8.9,89,1018.4,6.1
2020-01-04 01:00:00,9.2,89,1018.1,3.8
2020-01-04 02:00:00,8.7,91,1017.7,3.5
2020-01-04 03:00:00,6.6,96,1017.6,5.5
2020-01-04 04:00:00,6.1,98,1017.3,5.9
2020-01-04 05:00:00,6.2,96,1017.3,6.5
2020-01-04 06:00:00,5.8,96,1017.3,6.7
